t,F0,F1,F2,F3,F4,A0,A1,A2,A3,A4
5.82,-0.9709545590311377,-0.9709545590311377,-0.9709545590311377,-0.9709545590311377,-0.9709545590311377,-0.8721095272370737,-0.610157693050092,-0.3486488435504568,-0.08721333640551791,0.17428948296441038
5.83,-0.8568809835438588,-0.8568809835438588,-0.8568809835438588,-0.8568809835438588,-0.8568809835438588,-0.8095456221806485,-0.5663091148089735,-0.3235432578368599,-0.0809387275062936,0.1616755967142224
5.84,-0.6662647818034433,-0.6662647818034433,-0.6662647818034433,-0.6662647818034433,-0.6662647818034433,-0.674159854025441,-0.4719628735438775,-0.26988932360951534,-0.06749308517846497,0.1351794097513647
5.8500000000000005,-0.41613313140837527,-0.41613313140837527,-0.41613313140837527,-0.41613313140837527,-0.41613313140837527,-0.4790396586112384,-0.3353433771631817,-0.191748434618236,-0.04795180821814457,0.09601871488572065
5.86,-0.12882954773364666,-0.12882954773364666,-0.12882954773364666,-0.12882954773364666,-0.12882954773364666,-0.24183589108827988,-0.1687355951666207,-0.09609866832089638,-0.024069140815760573,0.047637676814382704
5.87,0.16998199575337067,0.16998199575337067,0.16998199575337067,0.16998199575337067,0.16998199575337067,0.018020685917918472,0.012772507039499373,0.007412001791784926,0.0018432028648970185,-0.003848804062205242
5.88,0.45360955380885126,0.45360955380885126,0.45360955380885126,0.45360955380885126,0.45360955380885126,0.27673467991146333,0.19312261051900265,0.1100135378328045,0.027551972568716308,-0.05456858088940696
5.89,0.6967175213857673,0.6967175213857673,0.6967175213857673,0.6967175213857673,0.6967175213857673,0.5095077176695785,0.35639004896392984,0.20359002683061847,0.05093261757237976,-0.1017062869420539
5.9,0.8775897877771157,0.8775897877771157,0.8775897877771157,0.8775897877771157,0.8775897877771157,0.6953828611606816,0.48789268820845505,0.27973770905124773,0.06988442449626343,-0.14104335871122978
5.91,0.9800695721091777,0.9800695721091777,0.9800695721091777,0.9800695721091777,0.9800695721091777,0.8239819645699058,0.5754178324110659,0.3280620033164566,0.08213431582690017,-0.16306819866922542
5.92,0.9950026604581141,0.9950026604581141,0.9950026604581141,0.9950026604581141,0.9950026604581141,0.8749662608614373,0.6116306134326182,0.3491286368236971,0.08736821640349744,-0.1740722157378253
5.93,0.9210551245162167,0.9210551245162167,0.9210551245162167,0.9210551245162167,0.9210551245162167,0.8421207859809849,0.5897857359046147,0.3374074078978631,0.08435800633105937,-0.16917613479731747
5.94,0.7648324774347993,0.7648324774347993,0.7648324774347993,0.7648324774347993,0.7648324774347993,0.7414634003990821,0.5187446822728196,0.29643752789253175,0.07415779452003511,-0.14821572898987628
5.95,0.540289623007414,0.540289623007414,0.540289623007414,0.540289623007414,0.540289623007414,0.5769782618461076,0.40367752385482414,0.23066170253831453,0.05769779373049626,-0.11530382398939883
5.96,0.26748430567497905,0.26748430567497905,0.26748430567497905,0.26748430567497905,0.26748430567497905,0.3599392536507038,0.25183287040540253,0.1439067630227303,0.035997984731697664,-0.07194879507866166
5.97,-0.02921458804791757,-0.02921458804791757,-0.02921458804791757,-0.02921458804791757,-0.02921458804791757,0.10733582290614581,0.07509602974828301,0.04291021731699143,0.010733700641911644,-0.02145039663566976
5.98,-0.3233038296289032,-0.3233038296289032,-0.3233038296289032,-0.3233038296289032,-0.3233038296289032,-0.15446366664604838,-0.10806818813226501,-0.06175251987885661,-0.015447379356320337,0.030871843853491007
5.99,-0.5885133029891592,-0.5885133029891592,-0.5885133029891592,-0.5885133029891592,-0.5885133029891592,-0.404989404092754,-0.2833465897950241,-0.16190942488340254,-0.04050117874686649,0.08094219973481878
6.0,-0.8011526357338304,-0.8011526357338304,-0.8011526357338304,-0.8011526357338304,-0.8011526357338304,-0.6176090920542876,-0.432108042336276,-0.24691469853598808,-0.06176428940584888,0.12343875851889984
