Time (s),A0 (g),Force(N)
0.7195,-0.010000000000000009,0.06
0.72,-0.010000000000000009,0.21
0.7205,-0.010000000000000009,0.07
0.721,-0.010000000000000009,-0.15
0.7215,-0.010000000000000009,-0.51
0.722,0.0,-0.36
0.7225,-0.010000000000000009,-0.16
0.723,-0.010000000000000009,0.3
0.723501,-0.010000000000000009,0.1
0.724,-0.010000000000000009,0.75
0.724501,0.0,0.04
0.725,-0.010000000000000009,0.36
0.7255,-0.010000000000000009,0.93
0.726,-0.010000000000000009,0.1
0.726501,-0.010000000000000009,0.32
0.727,-0.010000000000000009,0.34
0.7275,-0.010000000000000009,1.13
0.728,0.0,-0.25
0.7285,-0.010000000000000009,0.88
0.729,-0.010000000000000009,-0.12
0.7295,-0.010000000000000009,-0.1
0.73,-0.010000000000000009,-0.06
0.7305,-0.010000000000000009,0.72
0.731,-0.010000000000000009,0.13
0.7315,-0.010000000000000009,-0.77
0.732,-0.010000000000000009,-0.27
0.7325,-0.010000000000000009,-0.89
0.733,0.0,-0.12
0.7335,0.0,0.64
0.734,0.0,0.16
0.7345,-0.010000000000000009,0.37
0.735,-0.010000000000000009,-0.34
0.7355,0.0,0.43
0.736,-0.010000000000000009,0.87
0.7365,-0.010000000000000009,0.36
0.737,0.0,-0.26
0.7375,0.010000000000000009,0.53
0.738,-0.010000000000000009,-0.39
0.7385,-0.010000000000000009,-0.1
0.739,-0.010000000000000009,-0.28
0.7395,0.0,-0.51
0.74,-0.010000000000000009,-0.15
0.7405,-0.010000000000000009,-0.49
0.741,-0.010000000000000009,-0.37
0.7415,-0.010000000000000009,0.18
0.742,-0.010000000000000009,-0.06
0.7425,0.0,0.58
0.743,0.0,-0.58
0.7435,-0.010000000000000009,0.41
0.744,-0.010000000000000009,0.06
0.7445,0.0,-0.0
0.745,-0.010000000000000009,0.47
0.7455,-0.010000000000000009,0.45
0.746,-0.020000000000000018,0.56
0.7465,0.0,0.71
0.747,-0.010000000000000009,0.14
0.7475,-0.020000000000000018,-0.1
0.748,-0.010000000000000009,0.61
0.7485,-0.020000000000000018,-0.07
0.749,-0.010000000000000009,-0.08
0.7495,-0.010000000000000009,-0.23
0.75,-0.010000000000000009,-0.16
0.7505,-0.010000000000000009,0.09
0.751,-0.010000000000000009,-0.13
0.751501,-0.020000000000000018,-0.52
0.752,-0.010000000000000009,0.69
0.7525,0.0,-0.16
0.753,0.0,0.57
0.7535,0.0,0.6
0.754,0.0,0.44
0.7545,0.0,0.17
0.755,-0.010000000000000009,0.15
0.755501,-0.010000000000000009,0.22
0.756,-0.010000000000000009,0.06
0.7565,-0.010000000000000009,0.26
0.757,-0.010000000000000009,0.33
0.7575,-0.010000000000000009,0.9
0.758,-0.010000000000000009,-0.35
0.758501,-0.010000000000000009,0.4
0.759,-0.010000000000000009,0.4
0.7595,-0.010000000000000009,-0.07
0.76,-0.020000000000000018,-0.13
0.7605,-0.010000000000000009,0.22
0.761,-0.020000000000000018,0.83
0.7615,-0.020000000000000018,0.15
0.762,0.0,-0.14
0.7625,-0.010000000000000009,0.21
0.763,0.0,0.77
0.7635,-0.010000000000000009,0.9
0.764,0.0,0.05
