Time (s),A0 (g)
1.216832,0.01
1.217748,0.08
1.218664,0.08
1.219576,-0.17
1.220508,0.15
1.22142,0.11
1.222332,-0.17
1.22326,0.15
1.22418,-0.07
1.225112,0.11
1.226032,0.11
1.226952,0.08
1.227864,0.15
1.228784,0.11
1.229704,0.15
1.230624,0.18
1.231548,-0.1
1.23248,0.11
1.233392,-0.1
1.234324,0.15
1.23524,0.08
1.236152,-0.17
1.237084,0.15
1.238008,-0.1
1.23894,0.11
1.23986,-0.1
1.240792,0.15
1.241704,0.11
1.242632,0.08
1.243544,0.15
1.24446,0.08
1.245372,0.04
1.246284,0.15
1.2472,-0.14
1.248144,0.15
1.249056,0.11
1.249976,0.08
1.250888,0.18
1.251816,-0.21
1.252752,0.11
1.253672,0.01
1.254588,0.11
1.255512,0.11
1.256436,0.04
1.257348,0.11
1.258268,-0.07
1.259188,0.08
1.260096,0.15
1.261024,0.08
1.261936,-0.1
1.262868,0.18
1.263792,-0.1
1.264724,0.18
1.265648,-0.17
1.26658,0.18
1.267496,-0.1
1.268424,0.15
1.269332,0.11
1.270252,-0.07
1.271176,0.22
1.272104,0.08
1.273024,0.11
1.273944,0.08
1.274856,-0.21
1.275792,0.15
1.276704,0.11
1.27762,0.08
1.278532,0.11
1.279452,-0.07
1.280376,0.18
1.2813,0.04
1.282212,0.11
1.283136,-0.07
1.284064,0.11
1.284984,0.08
1.2859,0.04
1.286812,0.15
1.287728,0.04
1.288652,0.08
1.289568,0.18
1.290488,-0.21
1.291416,0.11
1.29234,-0.1
1.293272,0.11
1.294184,-0.14
1.295116,0.15
1.296036,0.04
1.296948,0.08
1.297864,0.11
1.298784,-0.14
1.29972,0.15
1.30064,0.04
1.301552,0.15
1.30248,0.11
1.303388,-0.17
1.304316,0.18
1.305228,0.11
1.306152,0.08
1.307064,0.08
1.307976,-0.14
1.308912,0.15
1.309832,0.01
1.310744,0.08
1.311664,0.11
1.31258,-0.14
1.313512,0.15
1.31442,-0.07
1.315344,0.15
1.31626,-0.1
1.317188,0.15
1.318112,0.11
1.319032,0.08
1.319944,0.18
1.320864,-0.17
1.321792,0.18
1.322708,0.11
1.323628,0.11
1.324552,0.22
1.325484,-0.17
1.326416,0.15
1.327332,0.11
1.328252,0.04
1.329164,0.15
1.330088,0.08
1.330992,0.01
1.331908,0.15
1.332828,0.01
1.333744,0.08
1.334664,0.11
1.335584,-0.17
1.33652,0.15
1.337436,0.11
1.338356,0.08
1.339268,0.11
1.340184,0.11
1.3411,0.08
1.342012,0.15
1.342936,0.08
1.343848,0.08
1.344768,0.08
1.34568,-0.03
1.346608,0.11
1.347532,0.08
1.348436,0.15
1.349348,0.01
1.350252,-0.07
1.351176,0.11
1.352096,-0.07
1.353024,0.11
1.353944,0.11
1.354864,-0.03
1.355792,0.18
1.356712,-0.14
1.35764,0.18
1.358556,0.08
1.35946,0.01
1.36038,0.15
1.361296,0.11
1.362212,0.04
1.363128,0.18
1.364056,-0.07
1.364984,0.22
1.365908,0.04
1.36682,0.15
1.367736,0.11
1.368652,-0.17
1.369588,0.11
1.370512,-0.1
1.371436,0.18
1.372356,0.11
1.373276,-0.03
1.3742,0.18
1.37512,-0.07
1.37604,0.15
1.376952,0.04
1.377868,-0.17
1.378804,0.15
1.379728,0.11
1.380648,0.04
1.381564,0.18
1.382488,0.08
1.383396,0.11
