Time (s),A0 (g),Force(N)
3.9105,-0.030000000000000027,0.15
3.911,-0.010000000000000009,0.11
3.911501,-0.030000000000000027,0.07
3.912,-0.030000000000000027,0.1
3.9125,-0.040000000000000036,0.17
3.913,-0.030000000000000027,0.11
3.9135,-0.030000000000000027,0.06
3.914,-0.020000000000000018,0.1
3.9145,-0.030000000000000027,0.19
3.915,-0.020000000000000018,0.22
3.915501,-0.020000000000000018,0.22
3.916,-0.020000000000000018,0.18
3.9165,-0.030000000000000027,0.19
3.917,-0.020000000000000018,0.05
3.917501,-0.010000000000000009,-0.06
3.918,-0.030000000000000027,0.11
3.9185,-0.030000000000000027,0.16
3.919,-0.020000000000000018,0.06
3.919501,-0.020000000000000018,0.16
3.92,-0.040000000000000036,0.01
3.9205,-0.010000000000000009,0.29
3.921,-0.010000000000000009,0.14
3.9215,-0.020000000000000018,-0.03
3.922,-0.020000000000000018,0.05
3.9225,-0.020000000000000018,0.18
3.923,-0.030000000000000027,0.1
3.9235,-0.030000000000000027,0.41
3.924,-0.030000000000000027,0.24
3.9245,-0.020000000000000018,0.1
3.925,-0.030000000000000027,0.17
3.9255,-0.030000000000000027,0.21
3.926,-0.030000000000000027,0.1
3.9265,-0.040000000000000036,0.1
3.927,-0.030000000000000027,0.11
3.9275,-0.030000000000000027,0.14
3.928,-0.030000000000000027,0.1
3.9285,-0.030000000000000027,0.18
3.929,-0.020000000000000018,0.28
3.9295,-0.020000000000000018,0.14
3.93,-0.020000000000000018,0.2
3.9305,-0.010000000000000009,0.18
3.931,-0.020000000000000018,0.46
3.931501,-0.030000000000000027,0.06
3.932,-0.020000000000000018,0.2
3.9325,-0.020000000000000018,0.12
3.933,-0.030000000000000027,0.18
3.9335,-0.020000000000000018,0.06
3.934,-0.030000000000000027,0.26
3.9345,-0.020000000000000018,0.12
3.935,-0.030000000000000027,0.23
3.9355,-0.030000000000000027,0.17
3.936,-0.020000000000000018,0.14
3.9365,-0.020000000000000018,0.13
3.937,-0.010000000000000009,0.14
3.9375,-0.020000000000000018,0.16
3.938,-0.030000000000000027,0.1
3.9385,-0.030000000000000027,0.14
3.939,-0.030000000000000027,-0.02
3.9395,-0.020000000000000018,0.23
3.94,-0.030000000000000027,0.19
3.9405,-0.020000000000000018,0.18
3.941,-0.020000000000000018,0.18
3.941501,-0.020000000000000018,0.18
3.942,-0.010000000000000009,0.23
3.9425,-0.010000000000000009,0.18
3.943,-0.020000000000000018,0.15
3.9435,-0.020000000000000018,0.15
3.944,-0.030000000000000027,0.12
3.9445,-0.030000000000000027,0.14
3.945,-0.020000000000000018,0.18
3.9455,-0.010000000000000009,0.22
3.946,-0.030000000000000027,0.1
3.9465,-0.020000000000000018,-0.01
3.947,-0.030000000000000027,0.25
3.9475,-0.030000000000000027,0.27
3.948,-0.030000000000000027,0.2
3.9485,-0.020000000000000018,-0.03
3.949,-0.030000000000000027,0.16
3.9495,-0.020000000000000018,0.18
3.95,-0.030000000000000027,0.23
3.950501,-0.020000000000000018,0.18
