Time (s),A0 (g),Force(N)
24.4945,-0.12,0.11
24.495,-0.010000000000000009,0.23
24.4955,0.06000000000000005,0.06
24.496,-0.15000000000000002,0.23
24.4965,0.1200000000000001,-0.0
24.497,-0.13,0.09
24.4975,-0.030000000000000027,0.04
24.498,0.050000000000000044,0.01
24.4985,-0.16000000000000003,0.01
24.499,0.1100000000000001,0.09
24.4995,-0.13,0.02
24.5,-0.030000000000000027,0.22
24.5005,0.050000000000000044,0.05
24.501,-0.16999999999999993,0.07
24.5015,0.10000000000000009,0.23
24.502,-0.16000000000000003,0.16
24.5025,-0.04999999999999993,0.12
24.503001,0.030000000000000027,0.19
24.5035,-0.18999999999999995,0.17
24.504,0.08000000000000007,0.16
24.5045,-0.15000000000000002,0.23
24.505001,-0.04999999999999993,0.19
24.5055,0.030000000000000027,0.12
24.506,-0.18999999999999995,0.1
24.5065,0.10000000000000009,0.1
24.507,-0.14,0.42
24.5075,-0.040000000000000036,0.2
24.508,0.040000000000000036,0.07
24.5085,-0.17999999999999994,0.19
24.509,0.10000000000000009,-0.12
24.5095,-0.12,0.18
24.51,-0.030000000000000027,0.26
24.5105,0.050000000000000044,0.01
24.511,-0.17999999999999994,0.18
24.5115,0.1100000000000001,0.05
24.512,-0.12,-0.08
24.5125,-0.030000000000000027,0.1
24.513,0.06000000000000005,0.06
24.5135,-0.16000000000000003,0.15
24.514,0.1100000000000001,0.16
24.5145,-0.10999999999999999,0.01
24.515,-0.010000000000000009,-0.08
24.5155,0.08000000000000007,0.1
24.516,-0.14,0.12
24.5165,0.1499999999999999,0.02
24.517001,-0.08999999999999997,0.19
24.5175,0.010000000000000009,0.04
24.518,0.10000000000000009,0.04
24.5185,-0.13,0.15
24.519,0.1499999999999999,0.16
24.5195,-0.05999999999999994,0.24
24.520001,0.020000000000000018,0.05
24.5205,0.09000000000000008,0.04
24.521,-0.14,0.22
24.5215,0.1499999999999999,0.06
24.522001,-0.06999999999999995,0.13
24.5225,0.0,0.21
24.523,0.1100000000000001,0.07
24.5235,-0.13,0.1
24.524001,0.14000000000000012,0.11
24.5245,-0.07999999999999996,0.19
24.525,0.0,0.09
24.5255,0.09000000000000008,0.07
24.526,-0.13,0.04
24.5265,0.14000000000000012,-0.0
24.527,-0.07999999999999996,0.1
24.5275,-0.010000000000000009,0.02
24.528,0.09000000000000008,0.27
24.5285,-0.15000000000000002,0.09
24.529001,0.13000000000000012,0.05
24.5295,-0.08999999999999997,0.08
24.53,-0.020000000000000018,0.2
24.5305,0.07000000000000006,0.18
24.531,-0.17999999999999994,0.14
24.5315,0.1100000000000001,0.26
24.532,-0.08999999999999997,-0.05
24.5325,-0.030000000000000027,0.13
24.533,0.08000000000000007,-0.02
24.5335,-0.16999999999999993,-0.04
24.534,0.1200000000000001,0.16
24.5345,-0.09999999999999998,0.1
24.535,-0.040000000000000036,0.18
24.5355,0.07000000000000006,0.13
24.536001,-0.18999999999999995,0.1
24.5365,0.10000000000000009,0.05
24.537,-0.12,0.17
24.5375,-0.06999999999999995,0.16
24.538,0.06000000000000005,0.18
24.5385,-0.20999999999999996,0.16
24.539,0.08000000000000007,0.12
24.5395,-0.10999999999999999,0.18
24.54,-0.06999999999999995,0.1
24.5405,0.07000000000000006,0.06
24.541001,-0.18999999999999995,0.13
24.5415,0.10000000000000009,0.17
24.542,-0.08999999999999997,0.11
24.542501,-0.05999999999999994,0.12
24.543,0.09000000000000008,0.1
24.5435,-0.17999999999999994,0.25
24.544,0.1100000000000001,0.28
24.5445,-0.09999999999999998,0.13
24.545,-0.06999999999999995,0.1
24.5455,0.07000000000000006,0.05
24.546,-0.20999999999999996,0.14
24.5465,0.08000000000000007,0.28
24.547,-0.10999999999999999,0.11
24.5475,-0.06999999999999995,0.19
24.548,0.08000000000000007,0.2
24.5485,-0.18999999999999995,0.11
24.549,0.1100000000000001,0.06
24.5495,-0.05999999999999994,0.06
24.55,-0.04999999999999993,0.14
24.5505,0.13000000000000012,0.08
24.551,-0.15000000000000002,0.12
24.5515,0.13000000000000012,-0.09
24.552,-0.04999999999999993,0.13
24.5525,-0.04999999999999993,0.04
24.553,0.13000000000000012,0.01
24.5535,-0.16999999999999993,0.03
24.554,0.1200000000000001,0.13
24.5545,-0.05999999999999994,0.25
24.555,-0.06999999999999995,0.07
24.5555,0.1100000000000001,0.05
24.556,-0.16999999999999993,0.14
24.5565,0.1200000000000001,0.13
24.557,-0.020000000000000018,0.03
24.5575,-0.05999999999999994,0.1
24.558,0.15999999999999992,0.12
24.5585,-0.14,0.14
24.559,0.14000000000000012,0.09
24.5595,-0.010000000000000009,0.08
24.56,-0.05999999999999994,0.01
24.5605,0.14000000000000012,-0.03
24.561,-0.17999999999999994,0.02
24.5615,0.10000000000000009,0.16
24.562,-0.04999999999999993,0.08
24.5625,-0.09999999999999998,-0.01
24.563,0.1100000000000001,0.17
24.5635,-0.19999999999999996,0.11
24.564,0.08000000000000007,0.12
24.5645,-0.040000000000000036,0.03
24.565001,-0.10999999999999999,0.09
24.5655,0.14000000000000012,0.09
24.566001,-0.16999999999999993,0.24
24.5665,0.09000000000000008,0.11
