t,F0,A0,F1,A1,F2,A2,F3,A3,F4,A4
0.53027,-0.194324566,-0.39425747,-0.194324566,-0.124604514,0.287467126,-0.198645957,0.287467126,0.616063952,0.156636931,0.45690497
0.53076,0.15500834,-0.914659185,0.15500834,0.32527283,0.048335588,-0.041356575,0.048335588,0.27212918,0.279324168,0.314344925
0.53125,0.23480933,-0.484227686,0.23480933,-0.086764364,0.02064953,0.950777874,0.02064953,-0.820279706,0.085250331,0.362379923
0.53174,0.013592299,-1.193396356,0.013592299,0.712711156,-0.198667477,-0.461361205,-0.198667477,0.69895278,-0.300454455,1.056394549
0.53223,-0.096337636,-0.426929147,-0.096337636,0.259374211,-0.179667242,0.396885843,-0.179667242,-0.267131438,0.11999362,0.561918438
0.53271,-0.580300784,0.842083611,-0.580300784,-0.847063908,-0.306425957,0.483304522,-0.306425957,-0.629059827,0.331710532,-0.131351412
0.5332,0.01087798,0.895695199,0.01087798,-0.605070391,-0.222282056,-0.570455555,-0.222282056,0.695265412,-0.091451861,0.459403972
0.53369,0.665571818,0.008364942,0.665571818,0.494245384,-0.886476012,-0.382538013,-0.886476012,-0.63852756,-0.165281349,0.225599589
0.53418,0.442726196,-0.013855246,0.442726196,0.594167512,-0.428027466,0.405712366,-0.428027466,-1.040807695,0.25299527,-0.769864811
0.53467,-0.245353771,0.464728199,-0.245353771,0.083993393,0.246752335,-0.644533105,0.246752335,1.268364863,-0.049922774,-0.540972259
0.53516,-0.124023694,0.993753317,-0.124023694,-0.401544922,-0.126466581,0.11235665,-0.126466581,-0.256118582,-0.419884508,-0.036974089
0.53564,0.231823579,1.072496491,0.231823579,-0.561714578,0.059735729,0.845585906,0.059735729,-0.998781551,-0.04367984,-0.699548073
0.53613,0.446254811,0.396221084,0.446254811,-0.105564399,0.422911664,-0.888444288,0.422911664,1.612250389,0.21662339,-0.748340158
0.53662,0.358310863,-0.774444262,0.358310863,0.74302883,-0.243725179,-0.051444909,-0.243725179,-0.478727256,-0.26055396,-0.043480111
0.53711,0.554013291,-1.016182667,0.554013291,0.851969311,-0.183467289,0.59580884,-0.183467289,-1.29233666,-0.155238367,0.052472937
0.5376,0.485883874,-0.621309624,0.485883874,0.448039402,0.700315106,-0.790312307,0.700315106,1.80729922,0.236709354,-0.24371416
0.53809,0.132750921,0.297689017,0.132750921,-0.434934377,0.123522235,0.156483111,0.123522235,-0.103268259,0.038564038,0.362176802
0.53857,-0.055894277,0.545459496,-0.055894277,-0.660707169,-0.637844355,0.263570873,-0.637844355,-1.481475853,-0.003779345,0.773847323
0.53906,0.212551911,-0.485138652,0.212551911,0.445687859,0.42508312,-0.462198309,0.42508312,1.135915103,-0.129723765,0.210888717
0.53955,0.178351487,-0.822085329,0.178351487,0.880378665,0.534470191,0.321072533,0.534470191,0.511444893,-0.281454219,0.757265277
0.54004,0.11022207,0.240938289,0.11022207,-0.048967304,-0.138952451,0.722266943,-0.138952451,-1.0415464,-0.248610954,0.630431708
0.54053,0.024449577,0.736780849,0.024449577,-0.328068424,0.237523649,-0.213732295,0.237523649,0.652352822,0.119450756,-0.193943403
0.54102,-0.265168302,0.993771782,-0.265168302,-0.594513069,0.140622447,-0.168202454,0.140622447,0.461840869,0.024992441,-0.161893398
0.5415,0.158808387,0.94437649,0.158808387,-0.568578376,-0.306154525,0.492481891,-0.306154525,-1.066379191,-0.470913713,-0.120475215
0.54199,0.066250096,-0.958096266,0.066250096,1.137952697,-0.038522633,-0.459637755,-0.038522633,0.435001264,-0.062951508,-0.523325367
0.54248,0.058107137,-0.155301204,0.058107137,0.289248662,0.44326906,0.162299753,0.44326906,0.424844073,0.053221363,-1.065633356
0.54297,-0.257296776,0.580322416,-0.257296776,-0.652747626,0.063264344,0.31798879,0.063264344,-0.399888992,-0.212781938,-0.304225702
0.54346,0.25435243,0.212667563,0.25435243,-0.276020519,-0.488556789,-0.802241039,-0.488556789,0.124782207,-0.183467289,-0.34932468
0.54395,0.145779654,-0.359382239,0.145779654,0.143280605,-0.17803865,-0.002677445,-0.17803865,-0.336021812,0.29072431,-0.75034059
0.54443,-0.212239074,-0.595759486,-0.212239074,0.16144043,-0.350940795,-0.393149538,-0.350940795,-0.064960262,0.221237733,-0.130120377
0.54492,0.075750214,-1.025680105,0.075750214,0.664867712,0.317053208,0.485674265,0.317053208,0.037504242,-0.188081632,0.473333136
0.54541,0.007349365,-0.62937906,0.007349365,0.394157047,0.089050379,-0.028849256,0.089050379,0.392513429,-0.201381797,0.694802545
0.5459,-0.315111779,1.028807048,-0.315111779,-1.164460713,-0.15279548,0.248275259,-0.15279548,-0.264964571,0.334424852,0.677180275
0.54639,-0.415270165,0.467350305,-0.415270165,-0.565697428,-0.105023458,0.215031151,-0.105023458,-0.192356051,0.390068399,0.353436452
0.54688,0.030149648,-0.516763949,0.030149648,0.527462474,0.189208764,0.005151939,0.189208764,0.418700512,0.105879159,0.731358139
0.54736,-0.030108243,-0.432887358,-0.030108243,0.459249247,0.020106666,0.223402191,0.020106666,-0.129997059,0.017663778,0.666685698
0.54785,-0.424770283,0.12177407,-0.424770283,-0.090328614,-0.234767925,-0.106115188,-0.234767925,-0.240852017,-0.251053842,0.135303148
0.54834,0.011963708,0.871751562,0.011963708,-0.730028454,0.193551675,0.023088124,0.193551675,0.163139451,-0.152252616,0.447056687
0.54883,0.40554002,0.383670679,0.40554002,-0.225616232,0.038564038,-0.299566233,0.038564038,0.229610566,-0.305068798,-0.447536678
0.54932,0.105879159,-0.331677789,0.105879159,0.365563018,-0.423684555,-0.334096774,-0.423684555,-0.49063887,-0.01707951,-0.641800206
0.5498,-0.138681019,-0.419598332,-0.138681019,0.33659348,-0.055351413,-0.05514417,-0.055351413,-0.284632585,-0.168809964,-0.80697437
0.55029,0.239152241,-0.409731583,0.239152241,0.377191462,0.012778004,-0.577195473,0.012778004,0.591760566,-0.308868845,-0.751934781
0.55078,0.716872455,0.130600593,0.716872455,0.028011886,-0.663901822,-0.335604792,-0.663901822,-0.558094925,0.221237733,-0.626726179
0.55127,0.095836177,0.522697653,0.095836177,-0.410304729,-0.487471061,0.153343971,-0.487471061,-0.761398782,0.116465004,-1.13303254
0.55176,-0.34035495,0.395820997,-0.34035495,-0.347182409,0.183508694,-0.193598713,0.183508694,0.820075734,0.129222306,0.093029396
0.55225,-0.086566086,-0.489318017,-0.086566086,0.554357482,-0.139495315,0.323337638,-0.139495315,-0.115241432,0.289095718,0.025088556
0.55273,-0.090908997,-0.380488339,-0.090908997,0.472712141,-0.530628739,0.468852168,-0.530628739,-0.827174283,0.382468305,0.131419232
0.55322,-0.306154525,0.892925369,-0.306154525,-0.873866579,0.045349836,-0.021715406,0.045349836,0.609858832,0.457654952,1.365458276
0.55371,0.223409189,0.631570416,0.223409189,-0.583272445,-0.372655351,-0.193703351,-0.372655351,0.122165961,0.508412725,0.775102979
0.5542,0.11863646,-0.781824319,0.11863646,0.686899581,-0.441056199,0.622337651,-0.441056199,-1.15277071,0.634900009,0.926563409
0.55469,-0.119952215,-0.293829608,-0.119952215,0.060742662,0.06679296,-0.409817756,0.06679296,0.728636399,0.428340303,1.33108777
0.55518,-0.212510506,-0.562392273,-0.212510506,0.274363761,-0.212510506,-0.490850656,-0.212510506,0.279977917,0.323839006,0.851537962
0.55566,0.010063684,-0.337451345,0.010063684,0.199859232,-0.620201279,0.221044758,-0.620201279,-1.329124156,0.396582766,0.59930498
0.55615,-0.374555374,0.904730998,-0.374555374,-1.092178454,-0.246439499,-0.947872517,-0.246439499,0.56079037,0.088507515,0.238082287
